timestamp,name,utilization.gpu,memory.used,memory.total
2026/04/24 00:42:50.654, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:42:51.656, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:42:52.657, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:42:53.660, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:42:54.661, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:42:55.663, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:42:56.664, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:42:57.666, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:42:58.667, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:42:59.669, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:00.671, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:01.674, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:02.675, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:03.676, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:04.677, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:05.680, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:06.681, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:07.683, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:08.684, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:09.686, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:10.687, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:11.689, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:12.690, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:13.693, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:14.694, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:15.696, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:16.698, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:17.699, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:18.700, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:19.702, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:20.705, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:21.707, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:22.708, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:23.709, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:24.710, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:25.712, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:26.713, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:27.715, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:28.717, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:29.720, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:30.721, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:31.722, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:43:32.723, NVIDIA TITAN RTX, 17, 10875, 24576
2026/04/24 00:43:33.724, NVIDIA TITAN RTX, 34, 10875, 24576
2026/04/24 00:43:34.725, NVIDIA TITAN RTX, 26, 10875, 24576
2026/04/24 00:43:35.726, NVIDIA TITAN RTX, 29, 10875, 24576
2026/04/24 00:43:36.727, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:37.729, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:38.731, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:39.732, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:40.735, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:41.736, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:42.737, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:43.738, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:44.741, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:45.742, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:46.743, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:47.744, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:48.746, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:49.747, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:50.748, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:51.750, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:52.751, NVIDIA TITAN RTX, 35, 10875, 24576
