timestamp,name,utilization.gpu,memory.used,memory.total
2026/04/24 01:50:44.031, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:50:45.032, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:50:46.033, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:50:47.034, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:50:48.036, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:50:49.037, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:50:50.039, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:50:51.040, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:50:52.041, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:50:53.042, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:50:54.043, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:50:55.044, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:50:56.045, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:50:57.047, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:50:58.048, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:50:59.049, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:00.050, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:01.052, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:02.053, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:03.054, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:04.055, NVIDIA TITAN RTX, 92, 12505, 24576
2026/04/24 01:51:05.056, NVIDIA TITAN RTX, 66, 12505, 24576
2026/04/24 01:51:06.057, NVIDIA TITAN RTX, 30, 12505, 24576
2026/04/24 01:51:07.058, NVIDIA TITAN RTX, 33, 12505, 24576
2026/04/24 01:51:08.059, NVIDIA TITAN RTX, 35, 12505, 24576
2026/04/24 01:51:09.060, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:10.062, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:11.063, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:12.064, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:13.065, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:14.066, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:15.067, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:16.068, NVIDIA TITAN RTX, 38, 12505, 24576
